id;URL;author;author URL;date observed;date observed (timestamp milliseconds);project;current name;original name;family;valid;license;latitude;longitude;comments;images;zone
1013342592;https://identify.plantnet.org/the-plant-list/observations/1013342592;Kim P.;https://identify.plantnet.org/users/103923240;Mar 10, 2022;1650000000000;the-plant-list;Calendula arvensis M.Bieb.;Calendula arvensis M.Bieb.;Compositae;TRUE;cc-by-sa;28,32968436;-16,77266249;;"https://bs.plantnet.org/image/o/2e61674e247df893be246df1eda710e86f282aef (leaf)
https://bs.plantnet.org/image/o/a13a811f62f3b963d612de1c3b85bd1baf2024b5 (flower)
https://bs.plantnet.org/image/o/85acd764479b6c4520a2f83c49e93ce0f627d1dd (habit)";kanarenkiefernwaelder
1013342551;https://identify.plantnet.org/the-plant-list/observations/1013342551;Kim P.;https://identify.plantnet.org/users/103923240;Mar 8, 2022;1650000000000;the-plant-list;Arbutus canariensis Duhamel;Arbutus canariensis Duhamel;Ericaceae;TRUE;cc-by-sa;28,53574578;-16,31361223;;"https://bs.plantnet.org/image/o/24b3bc63bf353b016a7a22f6e7b1615693e12556 (leaf)
https://bs.plantnet.org/image/o/e9019c2f4edc451ade666f1dd7e642b054ff997d (habit)
https://bs.plantnet.org/image/o/c2665ef25c232077feaa451de7f266dffe8ea1d7 (fruit)";loorbeerwald
1012733631;https://identify.plantnet.org/the-plant-list/observations/1012733631;Kim P.;https://identify.plantnet.org/users/103923240;Mar 25, 2022;1650000000000;the-plant-list;Nicotiana glauca Graham;Nicotiana glauca Graham;Solanaceae;TRUE;cc-by-sa;28,04750382;-16,54891782;;"https://bs.plantnet.org/image/o/490fcbcfc4cb490d958c55716588798b5b34ff6d (leaf)
https://bs.plantnet.org/image/o/1d87d7a03c3044be3089a71a7be1117bc4a152c9 (flower)
https://bs.plantnet.org/image/o/76ea20ed6d96d75fca4e6c5042a36f341bbd39b5 (habit)";sukkulentenbusch
1012717615;https://identify.plantnet.org/the-plant-list/observations/1012717615;Kim P.;https://identify.plantnet.org/users/103923240;Mar 22, 2022;1650000000000;the-plant-list;Tetraena fontanesii (Webb & Berthel.) Beier & Thulin;Tetraena fontanesii (Webb & Berthel.) Beier & Thulin;Zygophyllaceae;TRUE;cc-by-sa;28,01019965;-16,63204534;;"https://bs.plantnet.org/image/o/619c1543b4072692dd13def3976236b861c2f10d (leaf)
https://bs.plantnet.org/image/o/7d501e566d32105fef1073869a7607e4dc1ddea6 (habit)";kuestenvegetation
1012717590;https://identify.plantnet.org/the-plant-list/observations/1012717590;Kim P.;https://identify.plantnet.org/users/103923240;Mar 22, 2022;1650000000000;the-plant-list;Astydamia latifolia (L.f.) Baill.;Astydamia latifolia (L.f.) Baill.;Apiaceae;TRUE;cc-by-sa;28,01014173;-16,63161334;;"https://bs.plantnet.org/image/o/9b0b4f4d55407c90e0b1eba23c8a8b651f25d749 (leaf)
https://bs.plantnet.org/image/o/ae0d93c96736bd7a536a377fa63fdbb01d5f7d82 (flower)
https://bs.plantnet.org/image/o/c881ecfaff5e8bcc24f01b702f11f46f7dd84062 (habit)";kuestenvegetation
1012717511;https://identify.plantnet.org/weurope/observations/1012717511;Kim P.;https://identify.plantnet.org/users/103923240;Mar 22, 2022;1650000000000;weurope;Limonium pectinatum Kuntze;Limonium pectinatum Kuntze;Plumbaginaceae;TRUE;cc-by-sa;28,01284821;-16,63193285;;"https://bs.plantnet.org/image/o/55e48985ae4fd4bdf080d6d6be1635d4634bc6d4 (leaf)
https://bs.plantnet.org/image/o/2505ba7f4c782dad2c57c602fadebb11e7da9364 (flower)
https://bs.plantnet.org/image/o/e36115e218d686ca2527dec7f6cd9e351e990848 (habit)";kuestenvegetation
1012692462;https://identify.plantnet.org/the-plant-list/observations/1012692462;Caroline Merrem;https://identify.plantnet.org/users/103923229;Mar 18, 2022;1650000000000;the-plant-list;Musa acuminata Colla;Musa acuminata Colla;Musaceae;TRUE;cc-by-sa;28,04435355;-16,64771423;;"https://bs.plantnet.org/image/o/282ef49a42f6c25050f762c1dfcd93be2b36ef52 (leaf)
https://bs.plantnet.org/image/o/1b8a31ed9dd7e50d4b3d5a1186d5dbc120569db0 (flower)
https://bs.plantnet.org/image/o/d56bf0ce3d928b5b0b35ceaf445690fc2e94df75 (fruit)
https://bs.plantnet.org/image/o/fb02fce93ad7a851a42d16b5fe0a25ac65a42960 (bark)";ziernutzpflanzen
1012692098;https://identify.plantnet.org/the-plant-list/observations/1012692098;Caroline Merrem;https://identify.plantnet.org/users/103923229;Mar 18, 2022;1650000000000;the-plant-list;Aloe vera (L.) Burm.f.;Aloe Barbadensis;Xanthorrhoeaceae;TRUE;cc-by-sa;28,08294557;-16,68690102;;"https://bs.plantnet.org/image/o/be125cee6e9eae1eca8fa688b2891bf43faa69ed (leaf)
https://bs.plantnet.org/image/o/4923ecdec60bdd15af72bd50677fc49ff138d946 (flower)";ziernutzpflanzen
1012687762;https://identify.plantnet.org/the-plant-list/observations/1012687762;Caroline Merrem;https://identify.plantnet.org/users/103923229;Mar 17, 2022;1650000000000;the-plant-list;Artemisia alba Turra;Artemisia alba Turra;Compositae;TRUE;cc-by-sa;28,11557026;-16,4727623;;"https://bs.plantnet.org/image/o/473822332124bfc6b394afd2e64fab08e2d7c0ae (flower)
https://bs.plantnet.org/image/o/ef2e1ff5175c54f76efa578e96d0e4c37b998d71 (leaf)
https://bs.plantnet.org/image/o/ceb097a0c0b302ceb8cfc82cff153e2b4b7043bf (habit)";sukkulentenbusch
1012687750;https://identify.plantnet.org/the-plant-list/observations/1012687750;Caroline Merrem;https://identify.plantnet.org/users/103923229;Mar 17, 2022;1650000000000;the-plant-list;Lotus glaucus Sol.;Lotus glaucus Sol.;Leguminosae;TRUE;cc-by-sa;28,11559759;-16,47270453;;https://bs.plantnet.org/image/o/e9b33a958d344b54c094a7ae3f6fe4d96bebfcc2 (leaf);sukkulentenbusch
